eta,max_depth,subsample,colsample_bytree,lambda,alpha,n_estimators,accuracy,auc,f1_score,precision,recall
0.05,7,0.8,0.6,1,0,100,0.7996870109546166,0.7646301994906621,0.26011560693641617,0.15845070422535212,0.7258064516129032
0.3,7,0.5,0.6,1,0,300,0.8873239436619719,0.6116962011884549,0.2087912087912088,0.15833333333333333,0.3064516129032258
0.3,5,0.5,0.6,1,1,300,0.8873239436619719,0.6116962011884549,0.2087912087912088,0.15833333333333333,0.3064516129032258
0.3,7,0.6,0.8,5,1,100,0.877151799687011,0.6293108022071309,0.21890547263681592,0.15827338129496402,0.3548387096774194
0.3,3,0.8,0.8,5,1,300,0.877151799687011,0.6293108022071309,0.21890547263681592,0.15827338129496402,0.3548387096774194
0.1,7,0.8,0.5,5,1,300,0.86697965571205,0.6469254032258065,0.22727272727272727,0.15822784810126583,0.4032258064516129
0.3,5,0.6,0.8,5,1,300,0.8802816901408451,0.62330220713073,0.2153846153846154,0.15789473684210525,0.3387096774193548
0.1,7,0.8,0.8,1,1,300,0.8904538341158059,0.6056876061120543,0.20454545454545456,0.15789473684210525,0.2903225806451613
0.1,5,0.8,0.6,5,1,300,0.8599374021909233,0.6585314091680814,0.2317596566523605,0.15789473684210525,0.43548387096774194
0.1,7,0.6,0.5,1,1,300,0.8802816901408451,0.62330220713073,0.2153846153846154,0.15789473684210525,0.3387096774193548
0.3,7,0.5,0.6,5,1,300,0.8802816901408451,0.62330220713073,0.2153846153846154,0.15789473684210525,0.3387096774193548
0.3,7,0.5,0.5,1,1,300,0.8904538341158059,0.6056876061120543,0.20454545454545456,0.15789473684210525,0.2903225806451613
0.1,7,0.8,0.6,1,1,100,0.8427230046948356,0.6877520161290323,0.24150943396226415,0.15763546798029557,0.5161290322580645
0.3,7,0.6,0.6,1,1,100,0.8732394366197183,0.634908213073005,0.22115384615384615,0.15753424657534246,0.3709677419354839
0.3,5,0.5,0.8,1,0,300,0.8834115805946792,0.6172936120543293,0.21164021164021163,0.15748031496062992,0.3225806451612903
0.05,7,0.6,0.8,1,1,100,0.8082942097026604,0.7461932300509336,0.2553191489361702,0.15730337078651685,0.6774193548387096
0.3,3,0.5,0.5,5,1,300,0.848982785602504,0.6757348259762309,0.23715415019762845,0.15706806282722513,0.4838709677419355
0.3,7,0.8,0.6,5,1,300,0.8865414710485133,0.6112850169779287,0.20765027322404372,0.15702479338842976,0.3064516129032258
0.1,7,0.6,0.8,1,0,100,0.8591549295774648,0.6581202249575552,0.23076923076923078,0.1569767441860465,0.43548387096774194
0.03,7,0.5,0.6,1,1,300,0.8317683881064163,0.7049554329371817,0.24561403508771928,0.15695067264573992,0.5645161290322581
0.1,5,0.5,0.6,5,1,300,0.8450704225352113,0.6813322368421052,0.23846153846153847,0.15656565656565657,0.5
0.3,5,0.8,0.6,1,0,300,0.8896713615023474,0.605276421901528,0.2033898305084746,0.1565217391304348,0.2903225806451613
0.3,5,0.5,0.8,1,1,300,0.8896713615023474,0.605276421901528,0.2033898305084746,0.1565217391304348,0.2903225806451613
0.05,7,0.8,0.8,1,1,300,0.8724569640062598,0.6344970288624788,0.22009569377990432,0.1564625850340136,0.3709677419354839
0.03,5,0.5,0.6,1,0,300,0.7965571205007824,0.7629854626485568,0.2571428571428571,0.15625,0.7258064516129032
0.3,3,0.5,0.8,1,0,300,0.8826291079812206,0.6168824278438031,0.21052631578947367,0.15625,0.3225806451612903
0.1,7,0.5,0.8,5,1,100,0.823943661971831,0.7161502546689303,0.24749163879598662,0.15611814345991562,0.5967741935483871
0.05,7,0.5,0.8,5,1,300,0.8513302034428795,0.669315046689304,0.23387096774193547,0.15591397849462366,0.46774193548387094
0.3,3,0.6,0.6,5,0,300,0.8685446009389671,0.6400944397283531,0.2222222222222222,0.15584415584415584,0.3870967741935484
0.1,7,0.5,0.8,1,1,100,0.8442879499217527,0.6809210526315789,0.23754789272030652,0.15577889447236182,0.5
0.1,5,0.6,0.8,5,1,300,0.8615023474178404,0.6517004456706282,0.22707423580786026,0.15568862275449102,0.41935483870967744
0.1,5,0.6,0.6,5,1,300,0.8544600938967136,0.6633064516129032,0.23140495867768596,0.15555555555555556,0.45161290322580644
0.05,7,0.8,0.6,5,0,300,0.8474178403755869,0.6749124575551783,0.23529411764705882,0.15544041450777202,0.4838709677419355
0.3,7,0.8,0.8,1,0,300,0.8888888888888888,0.6048652376910018,0.20224719101123595,0.15517241379310345,0.2903225806451613
0.3,5,0.8,0.5,1,1,300,0.8888888888888888,0.6048652376910018,0.20224719101123595,0.15517241379310345,0.2903225806451613
0.3,5,0.6,0.6,5,1,300,0.8818466353677621,0.6164712436332768,0.2094240837696335,0.15503875968992248,0.3225806451612903
0.05,5,0.5,0.6,5,0,300,0.812206572769953,0.7329424872665534,0.25,0.15503875968992248,0.6451612903225806
0.1,7,0.5,0.6,5,0,300,0.8748043818466353,0.6280772495755518,0.21568627450980393,0.15492957746478872,0.3548387096774194
0.05,7,0.5,0.6,5,1,300,0.8364632237871674,0.6921158743633277,0.24,0.15492957746478872,0.532258064516129
0.3,5,0.5,0.6,1,1,100,0.8677621283255086,0.6396832555178269,0.22119815668202766,0.15483870967741936,0.3870967741935484
0.3,7,0.6,0.6,5,1,100,0.8677621283255086,0.6396832555178269,0.22119815668202766,0.15483870967741936,0.3870967741935484
